configuration,train_orders,test_orders,context_length,alpha,reset_at_row_boundary,exclude_first_row,exclude_first_column,train_observations,test_observations,contexts_seen,test_unseen_context_rate,train_log_loss,test_log_loss,test_fair_log_loss,test_marginal_log_loss,train_accuracy,test_accuracy,train_mle_log_loss,train_epsilon_max,train_epsilon_avg,test_epsilon_max,test_epsilon_avg,fair_log_loss_constant
full_row_major,4;8;16,32,1,0.5,False,False,False,333,1023,2,0.0,0.6902846726069852,0.6937350324110048,0.6931471805599453,0.6936838997589285,0.5375375375375375,0.5151515151515151,0.6902845653422136,0.042483660130718914,0.03753753753753752,0.015151515151515138,0.015151515151515138,0.6931471805599453
full_row_major,4;8;16,32,2,0.5,False,False,False,330,1022,4,0.0,0.6864118328800292,0.6949185441463224,0.6931471805599453,0.6934069734632354,0.5454545454545454,0.5166340508806262,0.6864106839243557,0.09999999999999998,0.04545454545454546,0.033333333333333326,0.01663405088062622,0.6931471805599453
full_row_major,4;8;16,32,3,0.5,False,False,False,327,1021,8,0.0,0.6178626669835712,0.5987712484525969,0.6931471805599453,0.6931805903021863,0.6788990825688074,0.7208619000979432,0.6178124150524874,0.26190476190476186,0.17889908256880735,0.2559055118110236,0.22086190009794318,0.6931471805599453
full_row_major,4;8;16,32,4,0.5,False,False,False,324,1020,16,0.0,0.5874218851292916,0.5751645261451489,0.6931471805599454,0.693007959519247,0.6820987654320988,0.7049019607843138,0.58432088062155,0.5,0.18209876543209877,0.5,0.22058823529411764,0.6931471805599453
full_row_major,4;8;16,32,5,0.5,False,False,False,321,1019,30,0.0,0.5220731232594744,0.48509686532736473,0.6931471805599453,0.6928925028602011,0.7445482866043613,0.7909715407262021,0.5121248333791043,0.5,0.24454828660436137,0.5,0.3184494602551521,0.6931471805599453
full_row_major,4;8;16,32,6,0.5,False,False,False,318,1018,53,0.0,0.4537237403841946,0.4661600997147197,0.6931471805599453,0.6928940055942235,0.7924528301886793,0.7907662082514735,0.42788809799473176,0.5,0.29245283018867924,0.5,0.3290766208251473,0.6931471805599453
full_row_major,4;8;16,32,7,0.5,False,False,False,315,1017,87,0.007866273352999017,0.43367977522819967,0.4727563739819999,0.6931471805599453,0.6928526165686439,0.8158730158730159,0.7885939036381514,0.37700611392622074,0.5,0.31587301587301586,0.5,0.32890855457227136,0.6931471805599453
full_row_major,4;8;16,32,8,0.5,False,False,False,312,1016,125,0.027559055118110236,0.4226737922495461,0.4923697729291406,0.6931471805599454,0.6928700313118267,0.8269230769230769,0.7765748031496063,0.32703098618373827,0.5,0.3269230769230769,0.5,0.3346456692913386,0.6931471805599453
reset_at_row_boundary,4;8;16,32,1,0.5,True,False,False,308,992,2,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.5,0.5,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453
reset_at_row_boundary,4;8;16,32,2,0.5,True,False,False,280,960,4,0.0,0.6880888537164103,0.6948146618939385,0.6931471805599453,0.6931471805599453,0.55,0.5166666666666667,0.6880877906309577,0.05555555555555558,0.05000000000000001,0.017241379310344862,0.016666666666666663,0.6931471805599453
reset_at_row_boundary,4;8;16,32,3,0.5,True,False,False,252,928,8,0.0,0.5192569747424205,0.5563330906202801,0.6931471805599452,0.6931471805599452,0.7777777777777778,0.7586206896551724,0.5190008945716934,0.375,0.2777777777777778,0.2931034482758621,0.25862068965517243,0.6931471805599453
reset_at_row_boundary,4;8;16,32,4,0.5,True,False,False,224,896,16,0.0,0.48139919217636357,0.498407128773168,0.6931471805599453,0.6931471805599453,0.75,0.75,0.46526662280985753,0.5,0.25,0.5,0.25,0.6931471805599453
reset_at_row_boundary,4;8;16,32,5,0.5,True,False,False,200,864,24,0.0,0.24598639034144093,0.32470106994323206,0.6931471805599453,0.6931471805599453,0.92,0.8888888888888888,0.21681419471920677,0.5,0.42,0.5,0.3888888888888889,0.6931471805599453
reset_at_row_boundary,4;8;16,32,6,0.5,True,False,False,176,832,36,0.019230769230769232,0.2882836314916048,0.36579043075151546,0.6931471805599453,0.6931471805599453,0.9090909090909091,0.875,0.23521162711756138,0.5,0.4090909090909091,0.5,0.38461538461538464,0.6931471805599453
reset_at_row_boundary,4;8;16,32,7,0.5,True,False,False,152,800,48,0.04,0.3081734784564406,0.3816493082328219,0.6931471805599452,0.6931471805599452,0.8947368421052632,0.86,0.2243214193732143,0.5,0.39473684210526316,0.5,0.38,0.6931471805599453
reset_at_row_boundary,4;8;16,32,8,0.5,True,False,False,128,768,60,0.0625,0.35510350588120027,0.435413184872621,0.6931471805599453,0.6931471805599453,0.8828125,0.8307291666666666,0.22845247232571914,0.5,0.3828125,0.5,0.375,0.6931471805599453
