repetition,seed,order,presentation,block_size,stage,test_matrices,policy,sampled_states,skipped_forced_states,states,mean_feasible_candidates,mean_percentile,mean_percentile_minus_random,mean_reciprocal_rank,top_decile_rate,expected_top1_rate
0,20260814,24,catalog,2,early,12,random_order,500,0,500,4.0,0.5,0.0,0.4000000000000035,0.0,0.25
0,20260814,24,catalog,2,early,12,balance_only,500,0,500,4.0,0.537,0.03700000000000003,0.5001904761904747,0.0,0.273
0,20260814,24,catalog,2,early,12,balance_random_pair,500,0,500,4.0,0.52875,0.028750000000000053,0.5171523809523808,0.102,0.3035
0,20260814,24,catalog,2,early,12,balance_pressured_pair,500,0,500,4.0,0.467,-0.032999999999999974,0.5128142857142861,0.234,0.308
0,20260814,24,catalog,2,early,12,all_pair_product,500,0,500,4.0,0.5795,0.07950000000000002,0.5943333333333332,0.316,0.367
0,20260814,24,catalog,2,early,12,minimum_max_pressure,500,0,500,4.0,0.428,-0.07200000000000001,0.48217619047619026,0.232,0.2854999999999999
0,20260814,24,permute_both_fixed_anchor,2,early,12,random_order,500,0,500,4.0,0.5,0.0,0.4000000000000035,0.0,0.25
0,20260814,24,permute_both_fixed_anchor,2,early,12,balance_only,500,0,500,4.0,0.5135,0.013499999999999956,0.4846428571428553,0.0,0.255
0,20260814,24,permute_both_fixed_anchor,2,early,12,balance_random_pair,500,0,500,4.0,0.53725,0.037250000000000005,0.5123761904761902,0.102,0.2835
0,20260814,24,permute_both_fixed_anchor,2,early,12,balance_pressured_pair,500,0,500,4.0,0.5675,0.0675,0.5544809523809519,0.176,0.3235
0,20260814,24,permute_both_fixed_anchor,2,early,12,all_pair_product,500,0,500,4.0,0.66475,0.16474999999999995,0.6941095238095235,0.46,0.511
0,20260814,24,permute_both_fixed_anchor,2,early,12,minimum_max_pressure,500,0,500,4.0,0.58025,0.08025000000000004,0.5472142857142852,0.164,0.3641666666666669
0,20260814,24,permute_both_renormalized,2,early,12,random_order,500,0,500,4.0,0.5,0.0,0.4000000000000035,0.0,0.25
0,20260814,24,permute_both_renormalized,2,early,12,balance_only,500,0,500,4.0,0.52,0.020000000000000018,0.488071428571427,0.0,0.258
0,20260814,24,permute_both_renormalized,2,early,12,balance_random_pair,500,0,500,4.0,0.541,0.041000000000000036,0.5149142857142857,0.09,0.2925
0,20260814,24,permute_both_renormalized,2,early,12,balance_pressured_pair,500,0,500,4.0,0.55975,0.05974999999999997,0.5421476190476188,0.144,0.31
0,20260814,24,permute_both_renormalized,2,early,12,all_pair_product,500,0,500,4.0,0.6615,0.16149999999999998,0.6880857142857137,0.444,0.506
0,20260814,24,permute_both_renormalized,2,early,12,minimum_max_pressure,500,0,500,4.0,0.5675,0.0675,0.5335666666666661,0.14,0.3426666666666668
0,20260814,24,catalog,2,middle,12,random_order,500,51,449,4.0,0.5,0.0,0.4000000000000033,0.0,0.25
0,20260814,24,catalog,2,middle,12,balance_only,500,51,449,4.0,0.5540089086859689,0.05400890868596886,0.5131509173825416,0.011135857461024499,0.28990348923533776
0,20260814,24,catalog,2,middle,12,balance_random_pair,500,51,449,4.0,0.5528953229398663,0.05289532293986632,0.5372945169158971,0.13140311804008908,0.3351893095768374
0,20260814,24,catalog,2,middle,12,balance_pressured_pair,500,51,449,4.0,0.5320155902004454,0.03201559020044542,0.5714603881641748,0.30066815144766146,0.3830734966592428
0,20260814,24,catalog,2,middle,12,all_pair_product,500,51,449,4.0,0.642260579064588,0.142260579064588,0.6791176158659448,0.45879732739420936,0.5051967334818115
0,20260814,24,catalog,2,middle,12,minimum_max_pressure,500,51,449,4.0,0.5879732739420935,0.08797327394209353,0.6431487962668356,0.42316258351893093,0.5089086859688198
0,20260814,24,permute_both_fixed_anchor,2,middle,12,random_order,500,0,500,3.99,0.5,0.0,0.40100000000000346,0.0,0.2508333333333333
0,20260814,24,permute_both_fixed_anchor,2,middle,12,balance_only,500,0,500,3.99,0.5201666666666668,0.020166666666666777,0.485995238095237,0.014,0.25666666666666665
0,20260814,24,permute_both_fixed_anchor,2,middle,12,balance_random_pair,500,0,500,3.99,0.55575,0.055749999999999966,0.5300476190476189,0.126,0.3048333333333333
0,20260814,24,permute_both_fixed_anchor,2,middle,12,balance_pressured_pair,500,0,500,3.99,0.5828333333333335,0.08283333333333354,0.5713809523809529,0.212,0.3453333333333333
0,20260814,24,permute_both_fixed_anchor,2,middle,12,all_pair_product,500,0,500,3.99,0.7355833333333333,0.23558333333333326,0.7850571428571423,0.608,0.6426666666666667
0,20260814,24,permute_both_fixed_anchor,2,middle,12,minimum_max_pressure,500,0,500,3.99,0.6418333333333334,0.14183333333333337,0.6292904761904762,0.298,0.47166666666666746
0,20260814,24,permute_both_renormalized,2,middle,12,random_order,500,0,500,3.992,0.5,0.0,0.4008000000000035,0.0,0.25066666666666665
0,20260814,24,permute_both_renormalized,2,middle,12,balance_only,500,0,500,3.992,0.5306666666666666,0.03066666666666662,0.49697619047618935,0.02,0.27166666666666656
0,20260814,24,permute_both_renormalized,2,middle,12,balance_random_pair,500,0,500,3.992,0.5570833333333333,0.057083333333333264,0.5276619047619044,0.12,0.294
0,20260814,24,permute_both_renormalized,2,middle,12,balance_pressured_pair,500,0,500,3.992,0.613,0.11299999999999999,0.6017047619047614,0.25,0.3798333333333333
0,20260814,24,permute_both_renormalized,2,middle,12,all_pair_product,500,0,500,3.992,0.7276666666666668,0.2276666666666668,0.7742380952380951,0.592,0.6276666666666666
0,20260814,24,permute_both_renormalized,2,middle,12,minimum_max_pressure,500,0,500,3.992,0.6414166666666667,0.14141666666666675,0.6172333333333331,0.272,0.44866666666666727
0,20260814,24,catalog,4,early,12,random_order,264,0,264,16.0,0.5,0.0,0.11764705882352905,0.0,0.0625
0,20260814,24,catalog,4,early,12,balance_only,264,0,264,16.0,0.6163589015151515,0.11635890151515149,0.21114503927181785,0.0,0.10290404040404061
0,20260814,24,catalog,4,early,12,balance_random_pair,264,0,264,16.0,0.5777698863636364,0.07776988636363635,0.2213747962156153,0.04924242424242424,0.10479797979797982
0,20260814,24,catalog,4,early,12,balance_pressured_pair,264,0,264,16.0,0.5136126893939394,0.013612689393939448,0.20404941329030563,0.045454545454545456,0.09059343434343438
0,20260814,24,catalog,4,early,12,all_pair_product,264,0,264,16.0,0.6265388257575758,0.1265388257575758,0.3774371379029089,0.32575757575757575,0.2313762626262626
0,20260814,24,catalog,4,early,12,minimum_max_pressure,264,0,264,16.0,0.4681581439393939,-0.03184185606060608,0.20212846424960318,0.09848484848484848,0.09713305949101401
0,20260814,24,permute_both_fixed_anchor,4,early,12,random_order,264,0,264,16.0,0.5,0.0,0.11764705882352905,0.0,0.0625
0,20260814,24,permute_both_fixed_anchor,4,early,12,balance_only,264,0,264,16.0,0.5314867424242424,0.03148674242424243,0.17086635362844999,0.0,0.06628787878787873
0,20260814,24,permute_both_fixed_anchor,4,early,12,balance_random_pair,264,0,264,16.0,0.5594223484848485,0.05942234848484851,0.1995682206359409,0.09090909090909091,0.08207070707070704
0,20260814,24,permute_both_fixed_anchor,4,early,12,balance_pressured_pair,264,0,264,16.0,0.5858191287878788,0.08581912878787878,0.2126290071709706,0.09848484848484848,0.08585858585858591
0,20260814,24,permute_both_fixed_anchor,4,early,12,all_pair_product,264,0,264,16.0,0.7582859848484849,0.25828598484848486,0.456040180564552,0.38636363636363635,0.2844065656565657
0,20260814,24,permute_both_fixed_anchor,4,early,12,minimum_max_pressure,264,0,264,16.0,0.6512784090909091,0.15127840909090906,0.26603806461185453,0.1590909090909091,0.1501205654614745
0,20260814,24,permute_both_renormalized,4,early,12,random_order,264,0,264,16.0,0.5,0.0,0.11764705882352905,0.0,0.0625
0,20260814,24,permute_both_renormalized,4,early,12,balance_only,264,0,264,16.0,0.5387073863636364,0.038707386363636354,0.1737915692914503,0.0,0.06881313131313127
0,20260814,24,permute_both_renormalized,4,early,12,balance_random_pair,264,0,264,16.0,0.5576467803030303,0.057646780303030276,0.18764403449901781,0.06060606060606061,0.0678661616161616
0,20260814,24,permute_both_renormalized,4,early,12,balance_pressured_pair,264,0,264,16.0,0.5783617424242424,0.07836174242424243,0.20908872026524924,0.10227272727272728,0.08143939393939396
0,20260814,24,permute_both_renormalized,4,early,12,all_pair_product,264,0,264,16.0,0.7470407196969697,0.24704071969696972,0.44521357297915665,0.38257575757575757,0.2772095959595959
0,20260814,24,permute_both_renormalized,4,early,12,minimum_max_pressure,264,0,264,16.0,0.6312736742424242,0.1312736742424242,0.2623013049428314,0.17045454545454544,0.14674754958845873
0,20260814,24,catalog,4,middle,12,random_order,500,46,454,15.779735682819384,0.5,0.0,0.11980651291353504,0.0,0.06375150180216259
0,20260814,24,catalog,4,middle,12,balance_only,500,46,454,15.779735682819384,0.646250500600721,0.14625050060072098,0.21807198008713885,0.0,0.10363436123347997
0,20260814,24,catalog,4,middle,12,balance_random_pair,500,46,454,15.779735682819384,0.6437725270324389,0.14377252703243892,0.24885837913561648,0.11013215859030837,0.1247063142437593
0,20260814,24,catalog,4,middle,12,balance_pressured_pair,500,46,454,15.779735682819384,0.5799521926311577,0.07995219263115771,0.22630356239147914,0.09911894273127753,0.10003671071953008
0,20260814,24,catalog,4,middle,12,all_pair_product,500,46,454,15.779735682819384,0.7293627352823387,0.22936273528233875,0.48296507162675173,0.45154185022026433,0.3413729809104257
0,20260814,24,catalog,4,middle,12,minimum_max_pressure,500,46,454,15.779735682819384,0.6504305166199441,0.1504305166199441,0.3912237676905305,0.31718061674008813,0.29345945293081854
0,20260814,24,permute_both_fixed_anchor,4,middle,12,random_order,500,0,500,15.656,0.5,0.0,0.12054999999999967,0.0,0.06416417748917745
0,20260814,24,permute_both_fixed_anchor,4,middle,12,balance_only,500,0,500,15.656,0.5767172619047624,0.07671726190476236,0.20084387836966563,0.008,0.08703333333333321
0,20260814,24,permute_both_fixed_anchor,4,middle,12,balance_random_pair,500,0,500,15.656,0.6198345238095238,0.11983452380952375,0.23728759083920958,0.162,0.10737575757575765
0,20260814,24,permute_both_fixed_anchor,4,middle,12,balance_pressured_pair,500,0,500,15.656,0.6559966991341988,0.15599669913419878,0.2691048128764547,0.232,0.12166666666666676
0,20260814,24,permute_both_fixed_anchor,4,middle,12,all_pair_product,500,0,500,15.656,0.8360485930735916,0.3360485930735916,0.606012922795336,0.57,0.4568166666666667
0,20260814,24,permute_both_fixed_anchor,4,middle,12,minimum_max_pressure,500,0,500,15.656,0.7288380952380948,0.22883809523809484,0.3769146913535082,0.298,0.26413347208347215
0,20260814,24,permute_both_renormalized,4,middle,12,random_order,500,0,500,15.676,0.5,0.0,0.12023865546218455,0.0,0.06397895437895436
0,20260814,24,permute_both_renormalized,4,middle,12,balance_only,500,0,500,15.676,0.5637727439227443,0.06377274392274435,0.1902594491144072,0.008,0.07713333333333329
0,20260814,24,permute_both_renormalized,4,middle,12,balance_random_pair,500,0,500,15.676,0.6096207459207458,0.10962074592074578,0.2267847560156552,0.128,0.09424242424242428
0,20260814,24,permute_both_renormalized,4,middle,12,balance_pressured_pair,500,0,500,15.676,0.6695164585414584,0.16951645854145836,0.2764764280960529,0.234,0.12533333333333346
0,20260814,24,permute_both_renormalized,4,middle,12,all_pair_product,500,0,500,15.676,0.826289148351647,0.326289148351647,0.6039040825812937,0.588,0.45466666666666666
0,20260814,24,permute_both_renormalized,4,middle,12,minimum_max_pressure,500,0,500,15.676,0.7359376248751243,0.23593762487512426,0.37477695291187035,0.292,0.25938234543234545
0,20260814,24,catalog,8,early,12,random_order,264,0,264,256.0,0.5,0.0,0.007782101167315151,0.0,0.00390625
0,20260814,24,catalog,8,early,12,balance_only,264,0,264,256.0,0.7103086529356061,0.21030865293560608,0.01999981150750704,0.0,0.008333333333333312
0,20260814,24,catalog,8,early,12,balance_random_pair,264,0,264,256.0,0.7231149384469697,0.22311493844696972,0.0336578776637017,0.48863636363636365,0.014897486772486736
0,20260814,24,catalog,8,early,12,balance_pressured_pair,264,0,264,256.0,0.6236683238636364,0.12366832386363635,0.02484224765872579,0.32575757575757575,0.009626022126022113
0,20260814,24,catalog,8,early,12,all_pair_product,264,0,264,256.0,0.7393983783143939,0.23939837831439392,0.2756002481735761,0.5340909090909091,0.20567655723905726
0,20260814,24,catalog,8,early,12,minimum_max_pressure,264,0,264,256.0,0.6709058357007576,0.17090583570075757,0.12925324296553298,0.3977272727272727,0.09969559846070027
0,20260814,24,permute_both_fixed_anchor,8,early,12,random_order,264,0,264,256.0,0.5,0.0,0.007782101167315151,0.0,0.00390625
0,20260814,24,permute_both_fixed_anchor,8,early,12,balance_only,264,0,264,256.0,0.5901544744318182,0.09015447443181823,0.015411289539897031,0.0,0.005478896103896093
0,20260814,24,permute_both_fixed_anchor,8,early,12,balance_random_pair,264,0,264,256.0,0.6306522253787878,0.13065222537878785,0.019316331849507578,0.17045454545454544,0.005934343434343428
0,20260814,24,permute_both_fixed_anchor,8,early,12,balance_pressured_pair,264,0,264,256.0,0.6692190459280303,0.16921904592803028,0.024268573530191902,0.23106060606060605,0.008247655122655118
0,20260814,24,permute_both_fixed_anchor,8,early,12,all_pair_product,264,0,264,256.0,0.8776411576704546,0.3776411576704546,0.2630396617175409,0.6515151515151515,0.17659536381127294
0,20260814,24,permute_both_fixed_anchor,8,early,12,minimum_max_pressure,264,0,264,256.0,0.777883818655303,0.277883818655303,0.08823058325130924,0.3484848484848485,0.05354966502501925
0,20260814,24,permute_both_renormalized,8,early,12,random_order,264,0,264,256.0,0.5,0.0,0.007782101167315151,0.0,0.00390625
0,20260814,24,permute_both_renormalized,8,early,12,balance_only,264,0,264,256.0,0.5727834990530303,0.07278349905303028,0.01412658504931695,0.0,0.004504870129870124
0,20260814,24,permute_both_renormalized,8,early,12,balance_random_pair,264,0,264,256.0,0.6317027698863636,0.13170276988636365,0.019535793583733058,0.16287878787878787,0.006192881192881192
0,20260814,24,permute_both_renormalized,8,early,12,balance_pressured_pair,264,0,264,256.0,0.6423783735795454,0.14237837357954541,0.020522267732170727,0.16287878787878787,0.005850168350168352
0,20260814,24,permute_both_renormalized,8,early,12,all_pair_product,264,0,264,256.0,0.8714562618371212,0.3714562618371212,0.29010733797869687,0.6628787878787878,0.2025568181818182
0,20260814,24,permute_both_renormalized,8,early,12,minimum_max_pressure,264,0,264,256.0,0.7774991122159091,0.27749911221590906,0.08914655404049274,0.2916666666666667,0.055981652104803534
0,20260814,24,catalog,8,middle,12,random_order,264,51,213,69.82629107981221,0.5,0.0,0.1067534359998364,0.0,0.06298879707211995
0,20260814,24,catalog,8,middle,12,balance_only,264,51,213,69.82629107981221,0.6474055540078792,0.14740555400787925,0.17911411005448538,0.06572769953051644,0.10685508761826072
0,20260814,24,catalog,8,middle,12,balance_random_pair,264,51,213,69.82629107981221,0.7235725069896682,0.22357250698966824,0.24247266005020462,0.27699530516431925,0.15567741146481676
0,20260814,24,catalog,8,middle,12,balance_pressured_pair,264,51,213,69.82629107981221,0.7027583474967533,0.20275834749675326,0.24023910886131714,0.24882629107981222,0.14182272652737565
0,20260814,24,catalog,8,middle,12,all_pair_product,264,51,213,69.82629107981221,0.8377686418859985,0.33776864188599853,0.49974621498555644,0.6901408450704225,0.4200294358745063
0,20260814,24,catalog,8,middle,12,minimum_max_pressure,264,51,213,69.82629107981221,0.6152530412940906,0.11525304129409064,0.2323252948357866,0.24882629107981222,0.17336322344105057
0,20260814,24,permute_both_fixed_anchor,8,middle,12,random_order,264,6,258,41.43023255813954,0.5,0.0,0.17836004179949413,0.0,0.10892630286779682
0,20260814,24,permute_both_fixed_anchor,8,middle,12,balance_only,264,6,258,41.43023255813954,0.6222340120832625,0.12223401208326246,0.3028534212437252,0.18604651162790697,0.18454519978110823
0,20260814,24,permute_both_fixed_anchor,8,middle,12,balance_random_pair,264,6,258,41.43023255813954,0.6550470053432946,0.15504700534329463,0.3162658156755145,0.22868217054263565,0.1859552804383644
0,20260814,24,permute_both_fixed_anchor,8,middle,12,balance_pressured_pair,264,6,258,41.43023255813954,0.638560400961128,0.13856040096112798,0.3288666986564844,0.27906976744186046,0.207040280390611
0,20260814,24,permute_both_fixed_anchor,8,middle,12,all_pair_product,264,6,258,41.43023255813954,0.8665732606331953,0.3665732606331953,0.636602373959962,0.7403100775193798,0.5610726590377754
0,20260814,24,permute_both_fixed_anchor,8,middle,12,minimum_max_pressure,264,6,258,41.43023255813954,0.6089321736507863,0.10893217365078633,0.2797863362473086,0.22093023255813954,0.19847863776919858
0,20260814,24,permute_both_renormalized,8,middle,12,random_order,264,6,258,40.798449612403104,0.5,0.0,0.1866707320145815,0.0,0.11680213257084882
0,20260814,24,permute_both_renormalized,8,middle,12,balance_only,264,6,258,40.798449612403104,0.6259410174310198,0.12594101743101982,0.3283780135674972,0.2364341085271318,0.23022386263773628
0,20260814,24,permute_both_renormalized,8,middle,12,balance_random_pair,264,6,258,40.798449612403104,0.6547392289979821,0.1547392289979821,0.3416301583277345,0.2713178294573643,0.23726783697017112
0,20260814,24,permute_both_renormalized,8,middle,12,balance_pressured_pair,264,6,258,40.798449612403104,0.6356301829388419,0.13563018293884188,0.3432398142991976,0.28294573643410853,0.24151291767627858
0,20260814,24,permute_both_renormalized,8,middle,12,all_pair_product,264,6,258,40.798449612403104,0.8566030425844595,0.3566030425844595,0.6333061768593558,0.7441860465116279,0.552564978088234
0,20260814,24,permute_both_renormalized,8,middle,12,minimum_max_pressure,264,6,258,40.798449612403104,0.6064945159984192,0.10649451599841919,0.2837563934200959,0.20155038759689922,0.20071330406583554
0,20260814,28,catalog,2,early,97,random_order,500,0,500,4.0,0.5,0.0,0.4000000000000035,0.0,0.25
0,20260814,28,catalog,2,early,97,balance_only,500,0,500,4.0,0.52575,0.02575000000000005,0.48973809523809386,0.0,0.257
0,20260814,28,catalog,2,early,97,balance_random_pair,500,0,500,4.0,0.539,0.039000000000000035,0.5219476190476183,0.114,0.299
0,20260814,28,catalog,2,early,97,balance_pressured_pair,500,0,500,4.0,0.566,0.06599999999999995,0.5548809523809519,0.17,0.324
0,20260814,28,catalog,2,early,97,all_pair_product,500,0,500,4.0,0.64225,0.14225,0.6674666666666661,0.432,0.47
0,20260814,28,catalog,2,early,97,minimum_max_pressure,500,0,500,4.0,0.5585,0.058499999999999996,0.5112857142857145,0.108,0.3168333333333335
0,20260814,28,permute_both_fixed_anchor,2,early,97,random_order,500,0,500,4.0,0.5,0.0,0.4000000000000035,0.0,0.25
0,20260814,28,permute_both_fixed_anchor,2,early,97,balance_only,500,0,500,4.0,0.51125,0.011249999999999982,0.48564285714285566,0.0,0.259
0,20260814,28,permute_both_fixed_anchor,2,early,97,balance_random_pair,500,0,500,4.0,0.52675,0.02675000000000005,0.5070000000000001,0.106,0.2775
0,20260814,28,permute_both_fixed_anchor,2,early,97,balance_pressured_pair,500,0,500,4.0,0.55225,0.05225000000000002,0.5398761904761905,0.156,0.307
0,20260814,28,permute_both_fixed_anchor,2,early,97,all_pair_product,500,0,500,4.0,0.663,0.16300000000000003,0.6963523809523802,0.478,0.5165
