order,presentation,block_size,stage,policy,repetitions,mean_states,mean_feasible_candidates,mean_percentile,mean_percentile_minus_random,percentile_effect_ci95_lower,percentile_effect_ci95_upper,mean_reciprocal_rank,mean_top_decile_rate,mean_expected_top1_rate
24,catalog,2,early,all_pair_product,20,500.0,4.0,0.584575,0.08457500000000003,0.08167468750000001,0.08737500000000002,0.6010554761904761,0.3246,0.38099999999999995
24,catalog,2,early,balance_only,20,500.0,4.0,0.5367125,0.03671249999999999,0.03552499999999999,0.03789999999999999,0.499936904761903,0.0,0.27270000000000005
24,catalog,2,early,balance_pressured_pair,20,500.0,4.0,0.4759125,-0.024087500000000005,-0.02768781250000001,-0.020587500000000005,0.5215592857142858,0.2473,0.31989999999999996
24,catalog,2,early,balance_random_pair,20,500.0,4.0,0.5207125,0.020712500000000012,0.018337500000000017,0.023225000000000006,0.505731666666666,0.08680000000000002,0.29072499999999996
24,catalog,2,early,minimum_max_pressure,20,500.0,4.0,0.4431625,-0.0568375,-0.0617125,-0.05186250000000001,0.49616095238095204,0.24769999999999998,0.30504166666666666
24,catalog,2,early,random_order,20,500.0,4.0,0.5,0.0,0.0,0.0,0.4000000000000036,0.0,0.25
24,catalog,2,middle,all_pair_product,20,463.6,3.996851922507255,0.6431118928844636,0.14311189288446352,0.1365726029741116,0.1501646203512885,0.6765950068803239,0.4439556174576434,0.5018418473788587
24,catalog,2,middle,balance_only,20,463.6,3.996851922507255,0.5507556289650175,0.05075562896501755,0.04766262738674671,0.05385174609960825,0.5099955677065025,0.010093347887174354,0.28488216161514873
24,catalog,2,middle,balance_pressured_pair,20,463.6,3.996851922507255,0.5496138786230675,0.04961387862306755,0.0428494116885977,0.05658075095897948,0.5791449953666157,0.2914227702659494,0.38724477354741976
24,catalog,2,middle,balance_random_pair,20,463.6,3.996851922507255,0.5570227021622329,0.05702270216223297,0.05068994801544453,0.0631834429581515,0.5386837893763727,0.12699003158409405,0.33437432252811644
24,catalog,2,middle,minimum_max_pressure,20,463.6,3.996851922507255,0.5960489902029779,0.09604899020297786,0.08858060750423022,0.10330124409819189,0.6410870999442535,0.4064411891308981,0.5003595225388718
24,catalog,2,middle,random_order,20,463.6,3.996851922507255,0.5,0.0,0.0,0.0,0.4003148077492777,0.0,0.25026233979106194
24,catalog,4,early,all_pair_product,20,264.0,16.0,0.6328420928030302,0.13284209280303028,0.1281603633996212,0.13767163825757575,0.3893115457798872,0.3416666666666666,0.24412878787878783
24,catalog,4,early,balance_only,20,264.0,16.0,0.6227687026515152,0.12276870265151515,0.11838304924242422,0.12722537878787876,0.21557911060318516,0.0,0.10741792929292955
24,catalog,4,early,balance_pressured_pair,20,264.0,16.0,0.5353693181818181,0.03536931818181817,0.03153364701704545,0.038926669034090894,0.2131003191084348,0.04507575757575757,0.09779040404040404
24,catalog,4,early,balance_random_pair,20,264.0,16.0,0.564749053030303,0.06474905303030301,0.05571141098484846,0.07434910629734849,0.2195622371625859,0.046590909090909086,0.10572916666666668
24,catalog,4,early,minimum_max_pressure,20,264.0,16.0,0.4867542613636364,-0.013245738636363644,-0.020200047348484858,-0.006124970407196988,0.20335604793336656,0.08731060606060606,0.09541502952014311
24,catalog,4,early,random_order,20,264.0,16.0,0.5,0.0,0.0,0.0,0.11764705882352904,0.0,0.0625
24,catalog,4,middle,all_pair_product,20,466.65,15.75371689375736,0.7266763584518454,0.22667635845184547,0.22005237247329212,0.2335771037261698,0.48774333413573967,0.4566826191216114,0.34781761199517014
24,catalog,4,middle,balance_only,20,466.65,15.75371689375736,0.6402900751509779,0.140290075150978,0.1369022589916488,0.14388967943839862,0.2172201424793246,0.0012954504282297733,0.10354634266119193
24,catalog,4,middle,balance_pressured_pair,20,466.65,15.75371689375736,0.6016795647671007,0.10167956476710074,0.09433819042484666,0.1088941824079486,0.24195873401834728,0.11188709574790338,0.11300541783034919
24,catalog,4,middle,balance_random_pair,20,466.65,15.75371689375736,0.631886732609828,0.13188673260982792,0.1283139958488208,0.135410466954935,0.24514519064473053,0.0856836745105291,0.12258005853946122
24,catalog,4,middle,minimum_max_pressure,20,466.65,15.75371689375736,0.6691186392876365,0.16911863928763646,0.16127500008563342,0.17741719924107519,0.3989701042675427,0.3208309079723778,0.2990952977725332
24,catalog,4,middle,random_order,20,466.65,15.75371689375736,0.5,0.0,0.0,0.0,0.12003762741637503,0.0,0.0638844939731868
24,catalog,8,early,all_pair_product,20,264.0,256.0,0.7472508285984849,0.2472508285984849,0.2424945253314394,0.2519913459546638,0.25261129279395894,0.5422348484848485,0.17748763678451182
24,catalog,8,early,balance_only,20,264.0,256.0,0.7148733428030303,0.21487334280303028,0.20881105365175193,0.22106727368903886,0.020452488965323323,0.0,0.008713474025974003
24,catalog,8,early,balance_pressured_pair,20,264.0,256.0,0.6354987866950756,0.13549878669507573,0.12892173998283618,0.14179323138612687,0.025527904855431115,0.3392045454545455,0.01003607503607502
24,catalog,8,early,balance_random_pair,20,264.0,256.0,0.7021458481297348,0.20214584812973485,0.1916888797644413,0.21272841020063918,0.031727668584453125,0.4581439393939394,0.013814333814333788
24,catalog,8,early,minimum_max_pressure,20,264.0,256.0,0.6941384055397727,0.19413840553977274,0.18262673117897726,0.20510231711647725,0.10294142566004161,0.38825757575757575,0.07396995612986863
24,catalog,8,early,random_order,20,264.0,256.0,0.5,0.0,0.0,0.0,0.00778210116731515,0.0,0.00390625
24,catalog,8,middle,all_pair_product,20,223.35,62.915167005947936,0.83195887143958,0.33195887143958,0.32372491923594116,0.3398178703273416,0.5225810946138225,0.667640207218734,0.44599326450450266
24,catalog,8,middle,balance_only,20,223.35,62.915167005947936,0.6459345986695696,0.1459345986695696,0.14341127556993066,0.1483856922606507,0.18831824199100972,0.06881726512077496,0.11349347449391016
24,catalog,8,middle,balance_pressured_pair,20,223.35,62.915167005947936,0.6911859511873313,0.1911859511873312,0.18521335819288856,0.19718477666654433,0.2525586597740292,0.27387696721152344,0.15035518991458768
24,catalog,8,middle,balance_random_pair,20,223.35,62.915167005947936,0.7074663923816593,0.20746639238165937,0.2025631106927552,0.21261373227368466,0.2473955937781803,0.25216861208843905,0.15918971263925752
24,catalog,8,middle,minimum_max_pressure,20,223.35,62.915167005947936,0.609874132474381,0.10987413247438119,0.10217466981656478,0.1171802514952798,0.23845364800807375,0.2448955895248189,0.17909381400218077
24,catalog,8,middle,random_order,20,223.35,62.915167005947936,0.5,0.0,0.0,0.0,0.10864450598129427,0.0,0.06372196538468636
24,permute_both_fixed_anchor,2,early,all_pair_product,20,500.0,4.0,0.6626624999999999,0.16266250000000002,0.1586371875,0.16628749999999998,0.6927209523809521,0.4601,0.5139833333333332
24,permute_both_fixed_anchor,2,early,balance_only,20,500.0,4.0,0.5193,0.0193,0.017625000000000002,0.021075000000000003,0.48842380952380793,0.0,0.25945
24,permute_both_fixed_anchor,2,early,balance_pressured_pair,20,500.0,4.0,0.5657375000000001,0.0657375,0.06171249999999999,0.06949999999999999,0.5489252380952376,0.1585,0.315125
24,permute_both_fixed_anchor,2,early,balance_random_pair,20,500.0,4.0,0.542025,0.04202500000000002,0.037887500000000025,0.04621250000000002,0.5177380952380949,0.10770000000000002,0.29227499999999995
24,permute_both_fixed_anchor,2,early,minimum_max_pressure,20,500.0,4.0,0.5857375000000001,0.0857375,0.08143750000000001,0.09008750000000001,0.5476023809523806,0.1471,0.360166666666667
