order,context_length,statistic,effect,left_variant,left_traversal,left_region,right_variant,right_traversal,right_region,repetitions,mean,standard_deviation,ci95_lower,ci95_upper
24,1,mean_gain,gain_over_fair,catalog,columns,all,fair_coin,columns,all,20,0.0,0.0,0.0,0.0
24,1,mean_gain,gain_over_fair,catalog,columns,exclude_first_column,fair_coin,columns,exclude_first_column,20,0.0018891684536325392,6.834394529092142e-17,0.0018891684536325114,0.001889168453632567
24,1,mean_gain,gain_over_fair,catalog,columns,exclude_first_row,fair_coin,columns,exclude_first_row,20,0.0,0.0,0.0,0.0
24,1,mean_gain,gain_over_fair,catalog,columns,interior,fair_coin,columns,interior,20,0.001979015764197256,4.55626784737404e-17,0.0019790157641972395,0.001979015764197278
24,1,mean_gain,gain_over_fair,catalog,rows,all,fair_coin,rows,all,20,0.0,0.0,0.0,0.0
24,1,mean_gain,gain_over_fair,catalog,rows,exclude_first_column,fair_coin,rows,exclude_first_column,20,0.0,0.0,0.0,0.0
24,1,mean_gain,gain_over_fair,catalog,rows,exclude_first_row,fair_coin,rows,exclude_first_row,20,0.0018891684536325392,7.725518398167185e-17,0.001889168453632506,0.0018891684536325726
24,1,mean_gain,gain_over_fair,catalog,rows,interior,fair_coin,rows,interior,20,0.0019790157641972617,4.932295220242625e-17,0.001979015764197245,0.0019790157641972838
24,1,mean_gain,gain_over_fair,permute_both_fixed_anchor,columns,all,fair_coin,columns,all,20,0.0,0.0,0.0,0.0
24,1,mean_gain,gain_over_fair,permute_both_fixed_anchor,rows,all,fair_coin,rows,all,20,0.0,0.0,0.0,0.0
24,1,mean_gain,gain_over_fair,permute_both_renormalized,columns,all,fair_coin,columns,all,20,0.0,0.0,0.0,0.0
24,1,mean_gain,gain_over_fair,permute_both_renormalized,rows,all,fair_coin,rows,all,20,0.0,0.0,0.0,0.0
24,1,mean_gain,gain_over_fair,permute_columns_fixed_anchor,columns,all,fair_coin,columns,all,20,0.0,0.0,0.0,0.0
24,1,mean_gain,gain_over_fair,permute_columns_fixed_anchor,rows,all,fair_coin,rows,all,20,0.0,0.0,0.0,0.0
