order,hidden_rows,block_size,policy,runs,solved_runs,solve_rate,median_nodes_solved,mean_nodes_solved,median_backtracks_solved,median_seconds_solved,mean_seconds_solved,median_scoring_fraction_solved
16,4,2,all_pair_lexicographic,15,15,1.0,890.0,853.6,858.0,0.11901070002932101,0.10467406667303294,0.15892481745060427
16,4,2,lexicographic,15,15,1.0,545.0,545.2,513.0,0.05369750002864748,0.05448598668444902,0.0
16,4,4,all_pair_lexicographic,15,15,1.0,304.0,348.6,288.0,0.10505180002655834,0.13194167997377615,0.05814773604850374
16,4,4,lexicographic,15,15,1.0,252.0,246.0,236.0,0.08475999999791384,0.08907112000354876,0.0
16,4,8,all_pair_lexicographic,15,15,1.0,178.0,295.2,170.0,0.7249264999991283,1.043943820009008,0.018932091171011262
16,4,8,lexicographic,15,15,1.0,226.0,219.4,218.0,0.7389902999857441,0.7487226733316977,0.0
16,6,2,all_pair_lexicographic,15,15,1.0,5361.0,6617.2,5313.0,0.5504107000306249,0.7125364533392713,0.15485640634572845
16,6,2,lexicographic,15,15,1.0,603.0,598.4,555.0,0.05181590002030134,0.05283743999898434,0.0
16,6,4,all_pair_lexicographic,15,15,1.0,1301.0,2319.6,1277.0,0.4252162000630051,0.7427729933445032,0.05013126472016668
16,6,4,lexicographic,15,15,1.0,262.0,257.2,238.0,0.07690099999308586,0.07642385331758608,0.0
16,6,8,all_pair_lexicographic,15,15,1.0,2693.0,2379.2,2681.0,7.741956999991089,7.148898253325994,0.0063674598247069
16,6,8,lexicographic,15,15,1.0,224.0,217.0,212.0,0.6325050999876112,0.6221291399948919,0.0
20,4,2,all_pair_lexicographic,15,15,1.0,7843.0,8653.8,7803.0,1.3629787999670953,1.4496220666682347,0.14949450331994132
20,4,2,lexicographic,15,15,1.0,3712.0,3641.4,3672.0,0.5011028000153601,0.49916355332825335,0.0
20,4,4,all_pair_lexicographic,15,15,1.0,6187.0,5924.6,6167.0,3.2086690000724047,3.0496351666670916,0.04414327321438103
20,4,4,lexicographic,15,15,1.0,2423.0,2422.0,2403.0,1.195868199924007,1.2265225066725784,0.0
20,4,8,all_pair_lexicographic,15,15,1.0,320.0,260.0,308.0,2.8138175000203773,2.435712086657683,0.007836677188407382
20,4,8,lexicographic,15,15,1.0,235.0,233.4,223.0,2.2695219999877736,2.231578280008398,0.0
20,6,2,all_pair_lexicographic,15,15,1.0,38441.0,40645.2,38381.0,6.033202199963853,6.612442006667455,0.1494889320780962
20,6,2,lexicographic,15,15,1.0,3938.0,3871.4,3878.0,0.5080863999901339,0.5211951399920508,0.0
20,6,4,all_pair_lexicographic,15,15,1.0,28813.0,26578.4,28783.0,16.433332100044936,13.677907420019618,0.04372787661899995
20,6,4,lexicographic,15,15,1.0,2446.0,2451.4,2416.0,1.1183940999908373,1.1463958466813589,0.0
20,6,8,all_pair_lexicographic,15,12,0.8,2774.5,2247.75,2756.5,24.541751599987037,18.97301569166787,0.003338461696015562
20,6,8,lexicographic,15,15,1.0,234.0,236.2,216.0,2.0881632000673562,2.1818856133303295,0.0
