order,hidden_rows,block_size,policy,runs,solved_runs,solve_rate,median_nodes_solved,mean_nodes_solved,median_backtracks_solved,median_seconds_solved,mean_seconds_solved,median_scoring_fraction_solved
16,4,8,all_pair_lexicographic,60,60,1.0,175.0,333.4,167.0,0.7502651999820955,1.3286263600030603,0.020768839880256643
16,4,8,all_pair_product,60,60,1.0,307.5,379.01666666666665,299.5,1.227694800007157,1.4818964283253686,0.013451210010061554
16,4,8,lexicographic,60,60,1.0,223.5,213.9,215.5,0.7884090000297874,0.801821146653189,0.0
16,6,8,all_pair_lexicographic,60,60,1.0,1473.0,1970.75,1461.0,7.047055749921128,8.32205781666562,0.007615131414654674
16,6,8,all_pair_product,60,60,1.0,1572.0,2057.766666666667,1560.0,7.252748349914327,8.672177101663936,0.006774626084019927
16,6,8,lexicographic,60,60,1.0,224.5,217.55,212.5,0.9274942499469034,0.9400104016550661,0.0
20,4,8,all_pair_lexicographic,60,60,1.0,289.0,292.2,277.0,3.3648443500278518,3.4231919866617924,0.008212649463245573
20,4,8,all_pair_product,60,60,1.0,289.0,300.55,277.0,3.2202183999470435,3.464814523330036,0.007234804238279069
20,4,8,lexicographic,60,60,1.0,238.0,232.7,226.0,2.726194699993357,2.646233004997096,0.0
20,6,8,all_pair_lexicographic,60,39,0.65,1416.0,1378.3846153846155,1398.0,14.813319399952888,15.111421230780438,0.0043225525148100005
20,6,8,all_pair_product,60,38,0.6333333333333333,1587.5,1439.657894736842,1569.5,17.05086909997044,15.813069328956772,0.003753664721578647
20,6,8,lexicographic,60,60,1.0,241.5,238.9,223.5,2.6512818000628613,2.6728436083338845,0.0
