order,hidden_rows,block_size,guided_policy,baseline,pairs,both_solved,guided_only_solved,baseline_only_solved,neither_solved,guided_node_win_rate_both_solved,median_node_ratio_guided_over_baseline_both_solved,geometric_mean_node_ratio_guided_over_baseline_both_solved,median_time_ratio_guided_over_baseline_both_solved
16,4,2,all_pair_product,balance_only,15,15,0,0,0,0.8,0.622740056247489,0.7239753354709609,0.73330332180013
16,4,2,all_pair_product,lexicographic,15,15,0,0,0,0.0,2.4118773946360155,2.0168322144461586,2.7529438568849742
16,4,2,all_pair_product,minimum_max_pressure,15,15,0,0,0,0.5333333333333333,0.9251559251559252,1.2083757422029675,1.2137201131786584
16,4,2,all_pair_product,random_order,15,15,0,0,0,0.4666666666666667,1.003112840466926,1.1196371658480988,1.2542097248915811
16,4,4,all_pair_product,balance_only,15,15,0,0,0,0.9333333333333333,0.6891133557800224,0.623144762807405,0.774797199352189
16,4,4,all_pair_product,lexicographic,15,15,0,0,0,0.4,1.359375,1.5694911370148443,1.4349047779534465
16,4,4,all_pair_product,minimum_max_pressure,15,15,0,0,0,0.7333333333333333,0.782051282051282,0.9753402582831718,0.7286282633001372
16,4,4,all_pair_product,random_order,15,15,0,0,0,0.5333333333333333,0.8705402650356778,0.774238064978424,0.7564643119818714
16,4,8,all_pair_product,balance_only,15,15,0,0,0,0.6,0.5443786982248521,0.6915282175690732,0.6244846804085116
16,4,8,all_pair_product,lexicographic,15,15,0,0,0,0.5333333333333333,0.9585062240663901,1.0865518973874588,1.067105126148813
16,4,8,all_pair_product,minimum_max_pressure,15,15,0,0,0,0.6666666666666666,0.8451612903225807,0.6723467962459131,0.7750312670493965
16,4,8,all_pair_product,random_order,15,15,0,0,0,0.9333333333333333,0.3576158940397351,0.38841601530101955,0.41650537340274907
16,6,2,all_pair_product,balance_only,15,15,0,0,0,0.8,0.8614448669201521,0.812469488714137,0.9258863417201025
16,6,2,all_pair_product,lexicographic,15,15,0,0,0,0.0,10.794782608695652,11.906583393871658,12.691918308999982
16,6,2,all_pair_product,minimum_max_pressure,15,15,0,0,0,0.3333333333333333,1.3602305475504324,1.420047940699124,1.4012264685398075
16,6,2,all_pair_product,random_order,15,15,0,0,0,0.3333333333333333,1.286980231765508,1.350660285324628,1.3808747415194524
16,6,4,all_pair_product,balance_only,15,15,0,0,0,0.8,0.4804138950480414,0.5551569741020329,0.5674568097147249
