order,hidden_rows,block_size,policy,runs,solved_runs,solve_rate,median_nodes_solved,mean_nodes_solved,median_backtracks_solved,median_seconds_solved,mean_seconds_solved,median_scoring_fraction_solved
16,4,2,all_pair_product,15,15,1.0,1259.0,1137.2666666666667,1227.0,0.14267840003594756,0.14923086001848182,0.14865479484266725
16,4,2,balance_only,15,15,1.0,2188.0,1760.3333333333333,2156.0,0.2341275999788195,0.1953563933338349,0.04726204555906037
16,4,2,lexicographic,15,15,1.0,545.0,545.2,513.0,0.054705999908037484,0.05925728665509571,0.0
16,4,2,minimum_max_pressure,15,15,1.0,1051.0,1146.6,1019.0,0.12353649991564453,0.12780242000396053,0.03505562724806932
16,4,2,random_order,15,15,1.0,1027.0,1186.5333333333333,995.0,0.1185768999857828,0.1295777533358584,0.033202815695141684
16,4,4,all_pair_product,15,15,1.0,348.0,445.73333333333335,332.0,0.13981870003044605,0.16750620000530034,0.04981093582962609
16,4,4,balance_only,15,15,1.0,814.0,712.0666666666667,798.0,0.2837000999134034,0.24358693330238262,0.007798544791227942
16,4,4,lexicographic,15,15,1.0,252.0,246.0,236.0,0.09185129997786134,0.08957957334350794,0.0
16,4,4,minimum_max_pressure,15,15,1.0,469.0,537.0,453.0,0.18205009994562715,0.19616305998836955,0.004590192792361953
16,4,4,random_order,15,15,1.0,570.0,587.6,554.0,0.22768470004666597,0.21495415332416692,0.0037467882534586564
16,4,8,all_pair_product,15,15,1.0,231.0,330.2,223.0,1.0175518000032753,1.1692758133246874,0.0145785736302774
16,4,8,balance_only,15,15,1.0,356.0,362.3333333333333,348.0,1.277283399947919,1.269427219995608,0.001267187838402879
16,4,8,lexicographic,15,15,1.0,226.0,219.4,218.0,0.7199639999307692,0.7262329399973775,0.0
16,4,8,minimum_max_pressure,15,15,1.0,362.0,391.06666666666666,354.0,1.3885678000515327,1.3513098200162252,0.0006368266350603297
16,4,8,random_order,15,15,1.0,594.0,643.9333333333333,586.0,2.0080158999189734,2.1735760533250867,0.0002462913213885242
16,6,2,all_pair_product,15,15,1.0,6207.0,7498.133333333333,6159.0,0.9310807000147179,1.0429233066815262,0.14512104201280204
16,6,2,balance_only,15,15,1.0,8490.0,8973.466666666667,8442.0,1.0489394000032917,1.0972272199889024,0.048831376952152665
16,6,2,lexicographic,15,15,1.0,603.0,598.4,555.0,0.0736411000834778,0.07998974667085955,0.0
16,6,2,minimum_max_pressure,15,15,1.0,6803.0,6330.733333333334,6755.0,0.7862405000487342,0.754248846656022,0.03624466619176499
16,6,2,random_order,15,15,1.0,6815.0,6480.2,6767.0,0.7767978999763727,0.7758133466665943,0.034471502637541
16,6,4,all_pair_product,15,15,1.0,1682.0,2631.2,1658.0,0.7590875999303535,1.0712732599970574,0.045569294904983855
16,6,4,balance_only,15,15,1.0,3675.0,3772.133333333333,3651.0,1.4185504000633955,1.4805010799861824,0.008878583373344028
16,6,4,lexicographic,15,15,1.0,262.0,257.2,238.0,0.1014877000125125,0.10550248665579905,0.0
16,6,4,minimum_max_pressure,15,15,1.0,3148.0,3282.5333333333333,3124.0,1.2362077999860048,1.278272319980897,0.005128443999031629
16,6,4,random_order,15,15,1.0,3176.0,3414.6666666666665,3152.0,1.3110138999763876,1.337460200015145,0.004366669317837717
16,6,8,all_pair_product,15,15,1.0,2694.0,2388.0666666666666,2682.0,10.538114700000733,9.295248513342813,0.006202556227488295
16,6,8,balance_only,15,15,1.0,3019.0,2762.6,3007.0,12.014812399982475,10.485115773347207,0.0007606088850340055
16,6,8,lexicographic,15,15,1.0,224.0,217.0,212.0,0.8546336999861524,0.8429737066617236,0.0
16,6,8,minimum_max_pressure,15,15,1.0,2689.0,2735.0666666666666,2677.0,10.85269289999269,10.433468226661596,0.0003412062048310459
16,6,8,random_order,15,15,1.0,2431.0,2246.4,2419.0,8.74864229990635,8.572278313315474,0.0002431337126991471
20,4,2,all_pair_product,15,15,1.0,9471.0,10599.266666666666,9431.0,2.0080921000335366,2.325222153325255,0.14224149725148522
20,4,2,balance_only,15,15,1.0,20327.0,17550.466666666667,20287.0,3.834101299988106,3.4458975199920436,0.03832079462160615
20,4,2,lexicographic,15,15,1.0,3712.0,3641.4,3672.0,0.6434215001063421,0.6700400466875484,0.0
20,4,2,minimum_max_pressure,15,15,1.0,13629.0,13079.666666666666,13589.0,2.6870567000005394,2.5296418333348507,0.028788185690208107
20,4,2,random_order,15,15,1.0,13888.0,12402.466666666667,13848.0,2.5388146999757737,2.3664431199897082,0.027478613428762597
20,4,4,all_pair_product,15,15,1.0,6187.0,5973.6,6167.0,4.18842559994664,3.9551132066718613,0.041862981795746296
20,4,4,balance_only,15,15,1.0,9044.0,9032.333333333334,9024.0,5.861546300002374,5.557520493337264,0.006133518154611288
20,4,4,lexicographic,15,15,1.0,2423.0,2422.0,2403.0,1.5352415000088513,1.5564227599883451,0.0
20,4,4,minimum_max_pressure,15,15,1.0,8197.0,7265.466666666666,8177.0,5.373438499984331,4.493130379992848,0.0033397963903262643
20,4,4,random_order,15,15,1.0,4919.0,6343.666666666667,4899.0,3.1779198999283835,3.9795039266891155,0.0029232635985067066
20,4,8,all_pair_product,15,15,1.0,320.0,284.0,308.0,3.82178290002048,3.5275637266614166,0.00665868889255237
20,4,8,balance_only,15,15,1.0,767.0,864.8666666666667,755.0,10.486736499937251,10.736611499994373,0.0003553306515037113
20,4,8,lexicographic,15,15,1.0,235.0,233.4,223.0,3.049141699913889,2.9010930933213483,0.0
20,4,8,minimum_max_pressure,15,15,1.0,534.0,562.4666666666667,522.0,6.903682200005278,6.87449053999347,0.00021257090366572887
20,4,8,random_order,15,15,1.0,796.0,844.5333333333333,784.0,9.418808900052682,10.374304240010678,0.00010882723257261918
20,6,2,all_pair_product,15,15,1.0,43352.0,47717.2,43292.0,7.680580899934284,8.664695860010882,0.1440320484800118
20,6,2,balance_only,15,15,1.0,54853.0,53262.4,54793.0,8.516206200001761,8.57290792001877,0.040824716071063305
20,6,2,lexicographic,15,15,1.0,3938.0,3871.4,3878.0,0.5773487000260502,0.5949423666655397,0.0
20,6,2,minimum_max_pressure,15,15,1.0,44321.0,45445.0,44261.0,6.719984300085343,7.182394246687181,0.030184039271582246
20,6,2,random_order,15,15,1.0,46986.0,45190.066666666666,46926.0,7.046631900011562,7.096963319997303,0.028805855385682935
20,6,4,all_pair_product,15,15,1.0,28997.0,27158.133333333335,28967.0,15.897493400028907,15.190867880002285,0.04147381026307432
20,6,4,balance_only,15,15,1.0,28498.0,29181.533333333333,28468.0,15.900825099903159,15.467770653311163,0.00616102294187148
20,6,4,lexicographic,15,15,1.0,2446.0,2451.4,2416.0,1.2807391999522224,1.287605613314857,0.0
20,6,4,minimum_max_pressure,15,14,0.9333333333333333,29558.5,32963.07142857143,29528.5,15.90704794996418,17.598177971409832,0.0033737587082302827
20,6,4,random_order,15,15,1.0,33076.0,30691.466666666667,33046.0,18.1849839000497,16.31572918666837,0.002923889593213328
20,6,8,all_pair_product,15,9,0.6,2659.0,2058.6666666666665,2641.0,27.51380740001332,19.921388233352143,0.003015606369068327
20,6,8,balance_only,15,9,0.6,2253.0,2158.3333333333335,2235.0,22.597459099953994,21.82675153332659,0.00040318122356385717
